,Site,Domain,Lat,Lon,pft,start_year,end_year
1,BART, 1, 44.06516,  -71.28834,7,2018,2021
2,HARV, 1, 42.53562,  -72.17562,7,2018,2021
3,BLAN, 2, 39.033698,  -78.041788,7,2018,2021
4,SCBI, 2, 38.89209,  -78.13764,7,2018,2021
5,SERC, 2, 38.89124,  -76.55884,7,2018,2021
6,DSNY, 3, 28.12919,  -81.43394,14,2018,2021
7,JERC, 3, 31.19608,  -84.46647,1,2018,2021
8,OSBS, 3, 29.68819,  -81.99345,1,2018,2021
9,GUAN, 4, 17.96882,  -66.86888,6,2019,2021
10,LAJA, 4, 18.02184,  -67.07608,14,2019,2021
11,STEI, 5, 45.50760,  -89.58880,7,2018,2021
12,TREE, 5, 45.49266,  -89.58748,7,2018,2021
13,UNDE, 5, 46.23391,  -89.537254,7,2018,2021
14,KONA, 6, 39.10828,  -96.61044,19,2018,2021
15,KONZ, 6, 39.10070,  -96.56227,14,2018,2021
16,UKFS, 6, 39.04168,  -95.20495,7,2018,2021
17,GRSM, 7, 35.68839,  -83.50185,7,2018,2021
18,MLBS, 7, 37.37783,  -80.52425,7,2018,2019
19,ORNL, 7, 35.964128,  -84.282588,7,2018,2021
20,DELA, 8, 32.54092,  -87.80341,7,2018,2021
21,LENO, 8, 31.85310,  -88.16103,7,2021,2021
22,TALL, 8, 32.95106,  -87.39410,1,2018,2021
23,DCFS, 9, 47.15919,  -99.11251,13,2018,2021
24,NOGP, 9, 46.76846, -100.91832,13,2018,2021
25,WOOD, 9, 47.12833,  -99.23907,13,2018,2021
26,CPER,10, 40.81297, -104.74455,14,2018,2021
27,RMNP,10, 40.27707, -105.54524,1,2018,2021
28,STER,10, 40.45984, -103.03008,19,2018,2021
29,CLBJ,11, 33.40143,  -97.56725,7,2018,2021
30,OAES,11, 35.41062,  -99.06044,14,2018,2021
31,YELL,12, 44.95597, -110.54196,1,2019,2021
32,MOAB,13, 38.25136, -109.38882,14,2018,2020
33,NIWO,13, 40.05236, -105.58324,12,2018,2021
34,JORN,14, 32.59052, -106.84377,14,2018,2021
35,SRER,14, 31.91068, -110.83549,9,2018,2021
36,ONAQ,15, 40.17760, -112.45245,9,2018,2019
37,ABBY,16,45.762378,-122.329672,1,2018,2021
38,WREF,16, 45.81637, -121.95838,1,2019,2021
39,SJER,17,37.107117, -119.73300,13,2019,2021
40,SOAP,17,37.032690, -119.26210,1,2018,2021
41,TEAK,17,37.006472,-119.005758,1,2019,2021
42,TOOL,17, 68.66045,-149.370128,11,2020,2021
43,BARR,18,71.281711,-156.650219,12,2019,2021
44,BONA,19, 65.15333, -147.50194,2,2018,2021
45,DEJU,19, 63.87983, -145.74765,2,2018,2021
46,HEAL,19, 63.87980, -149.21539,12,2018,2021
47,PUUM,20, 19.55309, -155.31731,4,2020,2020
